client_id,client_name,industry,region,annual_budget_usd,procurement_category,quality_requirements,certifications_required,payment_terms,preferred_delivery_schedule,risk_tolerance
C001,FreshMart Retail Chain,Retail,North America,5000000,Food & Beverages,High,ISO 22000|HACCP|Organic,Net 60,Weekly,Low
C002,Golden Harvest Foods,Food Manufacturing,Europe,12000000,Raw Materials,Premium,ISO 22000|FSSC 22000|Non-GMO,Net 45,Bi-weekly,Medium
C003,QuickBite Restaurants,Restaurant Chain,Asia Pacific,3500000,Food & Beverages,Standard,HACCP|Halal,Net 30,Daily,Medium
C004,HealthPlus Organics,Organic Food Retailer,North America,2800000,Organic Products,Premium,USDA Organic|Non-GMO|Fair Trade,Net 90,Monthly,Low
C005,MegaMart Supermarkets,Retail,Europe,8500000,Food & Beverages,High,ISO 22000|BRC,Net 45,Twice Weekly,Low
C006,Sunrise Bakery Co,Bakery Manufacturing,Asia Pacific,1500000,Baking Ingredients,Standard,HACCP|Kosher,Net 30,Weekly,High
C007,GreenLeaf Catering,Catering Services,North America,900000,Food & Beverages,High,HACCP|Local Sourcing,Net 30,As Needed,Medium
C008,PureOil Industries,Oil Refinery,Middle East,15000000,Crude Oils,Industrial,ISO 9001|ISO 14001,Net 60,Monthly,Low
C009,NutriSnack Corp,Snack Manufacturing,Europe,4200000,Snack Ingredients,Standard,FSSC 22000|Allergen-Free,Net 45,Weekly,Medium
C010,FarmFresh Distributors,Food Distribution,Asia Pacific,6700000,Fresh Produce,High,GlobalGAP|Organic,Net 30,Daily,High
