Category,Region,Product_Type,Market_Price_USD_per_MT,Price_Date,Source,Volatility_Index,Price_Trend,YoY_Change_Percent
Rice Bran Oil,APAC,Refined,1250,2024-01-15,Bloomberg_Commodities,Medium,Stable,2.3
Rice Bran Oil,EU,Refined,1420,2024-01-15,Platts_Oilseeds,Low,Increasing,5.8
Rice Bran Oil,Americas,Refined,1380,2024-01-15,USDA_Market_News,Medium,Stable,1.2
Rice Bran Oil,APAC,Crude,980,2024-01-15,Bloomberg_Commodities,High,Decreasing,-3.5
Rice Bran Oil,EU,Crude,1150,2024-01-15,Platts_Oilseeds,Medium,Stable,0.8
Olive Oil,EU,Extra_Virgin,4200,2024-01-15,International_Olive_Council,High,Increasing,12.5
Olive Oil,Americas,Extra_Virgin,4350,2024-01-15,USDA_Market_News,High,Increasing,11.8
Olive Oil,MEA,Extra_Virgin,3980,2024-01-15,Regional_Market_Report,Medium,Stable,3.2
Sunflower Oil,EU,Refined,1180,2024-01-15,Platts_Oilseeds,Very_High,Volatile,18.5
Sunflower Oil,APAC,Refined,1220,2024-01-15,Bloomberg_Commodities,High,Increasing,15.2
Palm Oil,APAC,Refined,920,2024-01-15,Malaysian_Palm_Oil_Board,Medium,Stable,4.1
Palm Oil,Africa,Refined,950,2024-01-15,Regional_Market_Report,Medium,Increasing,6.3
Soybean Oil,Americas,Refined,1050,2024-01-15,CBOT_Futures,Medium,Stable,2.8
Soybean Oil,APAC,Refined,1080,2024-01-15,Bloomberg_Commodities,Medium,Increasing,3.5
Canola Oil,Americas,Refined,1320,2024-01-15,ICE_Futures,Low,Stable,1.9
Canola Oil,EU,Refined,1350,2024-01-15,Platts_Oilseeds,Low,Stable,2.1
